section,summary
image,source,compressed_MB,installed_MB,packages
alpine:latest,cache,-,8.02,14
debian:12,cache,-,114.76,88
ubuntu:24.04,cache,-,92.32,92
busybox:latest,cache,-,1.00,2

section,packages
package,alpine_latest_version,alpine_latest_installed_MB,debian_12_version,debian_12_installed_MB,ubuntu_24_04_version,ubuntu_24_04_installed_MB,busybox_latest_version,busybox_latest_installed_MB
adduser,-,-,3.134,0.67,-,-,-,-
alpine-baselayout,3.7.1-r8,0.01,-,-,-,-,-,-
alpine-baselayout-data,3.7.1-r8,0.02,-,-,-,-,-,-
alpine-keys,2.6-r0,0.01,-,-,-,-,-,-
apk-tools,3.0.3-r1,0.11,-,-,-,-,-,-
apt,-,-,2.6.1,4.13,2.8.3,4.01,-,-
base-files,-,-,12.4+deb12u13,0.33,13ubuntu10.3,0.42,-,-
base-passwd,-,-,3.6.1,0.24,3.6.3build1,0.25,-,-
bash,-,-,5.2.15-2+b10,7.00,5.2.21-2ubuntu4,1.86,-,-
bsdutils,-,-,1:2.38.1-5+deb12u3,0.35,1:2.39.3-9ubuntu6.4,0.28,-,-
busybox,1.37.0-r30,0.78,-,-,-,-,1.37.0,0.97
ca-certificates-bundle,20251003-r0,0.21,-,-,-,-,-,-
coreutils,-,-,9.1-1,17.64,9.4-3ubuntu6.1,6.78,-,-
dash,-,-,0.5.12-2,0.19,0.5.12-6ubuntu5,0.18,-,-
debconf,-,-,1.5.82,0.48,1.5.86ubuntu1,0.48,-,-
debian-archive-keyring,-,-,2023.3+deb12u2,0.29,-,-,-,-
debianutils,-,-,5.7-0.5~deb12u1,0.24,5.17build1,0.22,-,-
diffutils,-,-,1:3.8-4,1.56,1:3.10-1build1,0.44,-,-
dpkg,-,-,1.21.22,6.26,1.22.6ubuntu6.5,6.09,-,-
e2fsprogs,-,-,1.47.0-2+b2,1.46,1.47.0-2.4~exp1ubuntu4.1,1.47,-,-
findutils,-,-,4.9.0-4,1.71,4.9.0-5build1,0.54,-,-
gcc-12-base,-,-,12.2.0-14+deb12u1,0.10,-,-,-,-
gcc-14-base,-,-,-,-,14.2.0-4ubuntu2~24.04,0.11,-,-
getconf,-,-,-,-,-,-,2.41-12+deb13u1,0.03
gpgv,-,-,2.2.40-1.1+deb12u2,0.90,2.4.4-2ubuntu17.4,0.33,-,-
grep,-,-,3.8-5,1.22,3.11-4build1,0.34,-,-
gzip,-,-,1.12-1,0.25,1.12-1ubuntu3.1,0.24,-,-
hostname,-,-,3.23+nmu1,0.04,3.23+nmu2ubuntu2,0.04,-,-
init-system-helpers,-,-,1.65.2+deb12u1,0.13,1.66ubuntu1,0.13,-,-
libacl1,-,-,2.3.1-3,0.07,2.3.2-1build1.1,0.07,-,-
libapk,3.0.3-r1,0.26,-,-,-,-,-,-
libapt-pkg6.0,-,-,2.6.1,3.22,-,-,-,-
libapt-pkg6.0t64,-,-,-,-,2.8.3,3.17,-,-
libassuan0,-,-,-,-,2.5.6-1build1,0.10,-,-
libattr1,-,-,1:2.5.1-4,0.06,1:2.5.2-1build1.1,0.06,-,-
libaudit-common,-,-,1:3.0.9-1,0.02,1:3.1.2-2.1build1.1,0.02,-,-
libaudit1,-,-,1:3.0.9-1,0.15,1:3.1.2-2.1build1.1,0.15,-,-
libblkid1,-,-,2.38.1-5+deb12u3,0.39,2.39.3-9ubuntu6.4,0.28,-,-
libbz2-1.0,-,-,1.0.8-5+b1,0.10,1.0.8-5.1build0.1,0.09,-,-
libc-bin,-,-,2.36-9+deb12u13,1.99,2.39-0ubuntu8.6,2.13,-,-
libc6,-,-,2.36-9+deb12u13,12.70,2.39-0ubuntu8.6,13.12,-,-
libcap-ng0,-,-,0.8.3-1+b3,0.06,0.8.4-2build2,0.06,-,-
libcap2,-,-,1:2.66-4+deb12u2+b2,0.09,1:2.66-5ubuntu2.2,0.10,-,-
libcom-err2,-,-,1.47.0-2+b2,0.05,1.47.0-2.4~exp1ubuntu4.1,0.06,-,-
libcrypt1,-,-,1:4.4.33-2,0.23,1:4.4.36-4build1,0.22,-,-
libcrypto3,3.5.5-r0,4.96,-,-,-,-,-,-
libdb5.3,-,-,5.3.28+dfsg2-1,1.79,-,-,-,-
libdb5.3t64,-,-,-,-,5.3.28+dfsg2-7,1.72,-,-
libdebconfclient0,-,-,0.270,0.04,0.271ubuntu3,0.04,-,-
libext2fs2,-,-,1.47.0-2+b2,0.52,-,-,-,-
libext2fs2t64,-,-,-,-,1.47.0-2.4~exp1ubuntu4.1,0.53,-,-
libffi8,-,-,3.4.4-1,0.07,3.4.6-1build1,0.07,-,-
libgcc-s1,-,-,12.2.0-14+deb12u1,0.14,14.2.0-4ubuntu2~24.04,0.19,-,-
libgcrypt20,-,-,1.10.1-3,1.55,1.10.3-2build1,1.36,-,-
libgmp10,-,-,2:6.2.1+dfsg1-1.1,0.83,2:6.3.0+dfsg-2ubuntu6.1,0.53,-,-
libgnutls30,-,-,3.7.9-2+deb12u5,3.30,-,-,-,-
libgnutls30t64,-,-,-,-,3.8.3-1.1ubuntu3.4,2.30,-,-
libgpg-error0,-,-,1.46-1,0.19,1.47-3build2.1,0.18,-,-
libhogweed6,-,-,3.8.1-2,0.45,-,-,-,-
libhogweed6t64,-,-,-,-,3.9.1-2.2build1.1,0.33,-,-
libidn2-0,-,-,2.3.3-1+b1,0.43,2.3.7-2build1.1,0.22,-,-
liblz4-1,-,-,1.9.4-1,0.17,1.9.4-1build1.1,0.15,-,-
liblzma5,-,-,5.4.1-1,0.33,5.6.1+really5.4.5-1ubuntu0.2,0.37,-,-
libmd0,-,-,1.0.4-2,0.08,1.1.0-2build1.1,0.08,-,-
libmount1,-,-,2.38.1-5+deb12u3,0.44,2.39.3-9ubuntu6.4,0.36,-,-
libncursesw6,-,-,-,-,6.4+20240113-1ubuntu2,0.41,-,-
libnettle8,-,-,3.8.1-2,0.51,-,-,-,-
libnettle8t64,-,-,-,-,3.9.1-2.2build1.1,0.41,-,-
libnpth0t64,-,-,-,-,1.6-3.1build1,0.04,-,-
libp11-kit0,-,-,0.24.1-2,1.38,0.25.3-4ubuntu2.1,1.67,-,-
libpam-modules,-,-,1.5.2-6+deb12u2,1.01,1.5.3-5ubuntu5.5,1.12,-,-
libpam-modules-bin,-,-,1.5.2-6+deb12u2,0.22,1.5.3-5ubuntu5.5,0.26,-,-
libpam-runtime,-,-,1.5.2-6+deb12u2,0.86,1.5.3-5ubuntu5.5,0.27,-,-
libpam0g,-,-,1.5.2-6+deb12u2,0.21,1.5.3-5ubuntu5.5,0.20,-,-
libpcre2-8-0,-,-,10.42-1,0.67,10.42-4ubuntu2.1,0.62,-,-
libproc2-0,-,-,-,-,2:4.0.4-4ubuntu3.2,0.23,-,-
libseccomp2,-,-,2.5.4-1+deb12u1,0.14,2.5.5-1ubuntu3.1,0.14,-,-
libselinux1,-,-,3.4-1+b6,0.19,3.5-2ubuntu2.1,0.20,-,-
libsemanage-common,-,-,3.4-1,0.04,3.5-1build5,0.03,-,-
libsemanage2,-,-,3.4-1+b5,0.29,3.5-1build5,0.28,-,-
libsepol2,-,-,3.4-2.1,0.76,3.5-2build1,0.73,-,-
libsmartcols1,-,-,2.38.1-5+deb12u3,0.28,2.39.3-9ubuntu6.4,0.17,-,-
libss2,-,-,1.47.0-2+b2,0.07,1.47.0-2.4~exp1ubuntu4.1,0.07,-,-
libssl3,3.5.5-r0,0.80,-,-,-,-,-,-
libssl3t64,-,-,-,-,3.0.13-0ubuntu3.6,6.45,-,-
libstdc++6,-,-,12.2.0-14+deb12u1,2.62,14.2.0-4ubuntu2~24.04,3.04,-,-
libsystemd0,-,-,252.39-1~deb12u1,0.89,255.4-1ubuntu8.12,1.00,-,-
libtasn1-6,-,-,4.19.0-2+deb12u1,0.11,4.19.0-3ubuntu0.24.04.2,0.12,-,-
libtinfo6,-,-,6.4-4,0.53,6.4+20240113-1ubuntu2,0.54,-,-
libudev1,-,-,252.39-1~deb12u1,0.23,255.4-1ubuntu8.12,0.31,-,-
libunistring2,-,-,1.0-2,1.76,-,-,-,-
libunistring5,-,-,-,-,1.1-2build1.1,1.72,-,-
libuuid1,-,-,2.38.1-5+deb12u3,0.08,2.39.3-9ubuntu6.4,0.08,-,-
libxxhash0,-,-,0.8.1-1,0.10,0.8.2-2build1,0.09,-,-
libzstd1,-,-,1.5.4+dfsg2-5,0.77,1.5.5+dfsg2-2build1.1,0.74,-,-
login,-,-,1:4.13+dfsg1-1+deb12u2,2.49,1:4.13+dfsg1-4ubuntu3.2,0.86,-,-
logsave,-,-,1.47.0-2+b2,0.05,1.47.0-2.4~exp1ubuntu4.1,0.05,-,-
mawk,-,-,1.3.4.20200120-3.1,0.26,1.3.4.20240123-1build1,0.27,-,-
mount,-,-,2.38.1-5+deb12u3,0.38,2.39.3-9ubuntu6.4,0.34,-,-
musl,1.2.5-r21,0.63,-,-,-,-,-,-
musl-utils,1.2.5-r21,0.05,-,-,-,-,-,-
ncurses-base,-,-,6.4-4,0.37,6.4+20240113-1ubuntu2,0.38,-,-
ncurses-bin,-,-,6.4-4,0.62,6.4+20240113-1ubuntu2,0.63,-,-
passwd,-,-,1:4.13+dfsg1-1+deb12u2,2.76,1:4.13+dfsg1-4ubuntu3.2,2.36,-,-
perl-base,-,-,5.36.0-7+deb12u3,7.46,5.38.2-3.2ubuntu0.2,7.73,-,-
procps,-,-,-,-,2:4.0.4-4ubuntu3.2,1.76,-,-
scanelf,1.3.8-r2,0.06,-,-,-,-,-,-
sed,-,-,4.9-1,0.96,4.9-2build1,0.33,-,-
sensible-utils,-,-,-,-,0.0.22,0.06,-,-
ssl_client,1.37.0-r30,0.01,-,-,-,-,-,-
sysvinit-utils,-,-,3.06-4,0.10,3.08-6ubuntu3,0.10,-,-
tar,-,-,1.34+dfsg-1.2+deb12u1,3.07,1.35+dfsg-3build1,0.69,-,-
tzdata,-,-,2025b-0+deb12u2,2.50,-,-,-,-
ubuntu-keyring,-,-,-,-,2023.11.28.1,0.03,-,-
unminimize,-,-,-,-,0.2.1,0.02,-,-
usr-is-merged,-,-,37~deb12u1,0.01,-,-,-,-
util-linux,-,-,2.38.1-5+deb12u3,4.86,2.39.3-9ubuntu6.4,3.36,-,-
util-linux-extra,-,-,2.38.1-5+deb12u3,0.36,-,-,-,-
zlib,1.3.1-r2,0.10,-,-,-,-,-,-
zlib1g,-,-,1:1.2.13.dfsg-1,0.16,1:1.3.dfsg-3.1ubuntu2.1,0.16,-,-
